occ1,hisco
Male bargeman owner of vessels in Cornwall,98320
Male journeyman boot and shoe maker in Cornwall,81160
Female servant in Cumberland,95110
Female farmer daughter in Cumberland,99999
Female late buck nurse in Cumberland,7210
Female hotel in Cumberland,53190
Female retired publican owner of house property in Cumberland,57110
Female engine wife in Cumberland,99999
Male maker and parish clerk in Cumberland,32010
Male boiler maker in Cumberland,83110
Male farmer of acres cordwainer in Cumberland,61110
Male shipwright in Cumberland,84310
Male teacher in Cumberland,13110
Female milliner in Denbighshire,79430
Male master national school in Denbighshire,13110
Male merchant in Denbighshire,41190
Male silk manufacture in Denbighshire,75190
Male magistrate in Denbighshire,2110
Female servant daughter in Denbighshire,99999
Female day labourer carters wife in Denbighshire,99999
Male farmer of acres employing agricultural labourer in Denbighshire,61110
Male apprentice quarryman in Denbighshire,95210
Male agricultural labourer son in Denbighshire,62110
Male pauper in Derbyshire,99999
Male grocer in Derbyshire,45120
Male dentist in Derbyshire,6120
Female coal labourer wife in Derbyshire,99999
Male farmer acres in Derbyshire,61110
Female piano player in Derbyshire,17210
Female farm servant in Derbyshire,62110
Female day cotton piecer day school in Derbyshire,75190
Female keeper at cotton factory in Derbyshire,75010
Male labourer at coal works in Derbyshire,71110
Male night watch in Derbyshire,58110
Male late millwright in Derbyshire,84190
Male assistant mason in Derbyshire,93110
Male magistrate for the derbyshire bureau in Derbyshire,2110
Male back tenter of printer machine in Derbyshire,92110
Male pensioner chemical labourer in Derbyshire,99999
Male road contractor in Devon,93990
Male corporal in Devon,1210
Female ministers daughter in Devon,99999
Male farm servant in Devon,62110
Male farm superintendent in Devon,62010
Male farm servant in Devon,62110
Male retired builder in Devon,93010
Male fellmongers labourer in Devon,81290
Male pensioner out of greenwich in Devon,99999
Female domestic servant in Devon,95110
Female retired farm bailiff in Devon,62010
Female house hooker in Devon,99999
Female farm laborer wife in Devon,99999
Female at home daughter in Devon,99999
Female from son in Devon,99999
Male agent shipwright broker in Devon,84310
Male clerk cornwall bank in Devon,32010
Male smith hw dock yard in Devon,83120
Male butter factor farmer of acres employing m in Devon,61110
Male farmer land proprietor of acres employin in Devon,61110
Male cooccupier of farm in Devon,61110
Male apprentice builder employing man in Devon,93010
Male master saddler in Devon,81290
Male butcher in Devon,78210
Male coffee house keeper labourer in Devon,53190
Male lady door in Devon,99999
Male retired servant in Dorset,99999
Female house servant in Dorset,95110
Female brading nets in Dorset,79520
Female milkwoman in Dorset,45190
Female sawyer wife in Dorset,99999
Female farm of acres employ labourer in Dorset,61110
Male commission boatman coast guard in Dorset,98320
Male farmer acres employing men and boys in Dorset,61110
Male farmer acres employing men boys in Dorset,61110
Male maltster occupying of acres in Dorset,77310
Male servant on farm in Dorset,62110
Male retired painter glazier in Dorset,99999
Male tinker in Dorset,83210
Male pensioner chilsey in Dorset,99999
Female seaman daughter in Durham,99999
Male cook in Durham,53110
Male pigman in Durham,62220
Female berlin wool dealer in Durham,45190
Male boot shoe maker employing man in Durham,81160
Male apprentice fathers in Durham,99990
Male publicans son in Durham,99999
Female nurse and housemaid in Durham,7210
Male superannuated officer inland revenue in Durham,32010
Male retired surveyor in Durham,2130
Male farmer horse dealer acres in Durham,61110
Male on setter at a coal mine in Durham,71110
Male messenger in Durham,97110
Male farm bailiff in Durham,62010
Male worker stone in coal miner in Durham,71110
Male keepman in Durham,58190
Male master joiner employing in Durham,81220
Male seamanmerchant in Durham,41190
Male retired servant proprietor of houses in Durham,99999
Male formerly a shoemaker in Durham,81160
Male innkeeper and butcher in Durham,57110
Male winder in Durham,75190
Female needle work in Essex,79420
Male woodmen in Essex,82210
Female grazier wife in Essex,99999
Male poultorer in Essex,62190
Male assistant broker in Essex,32090
Female resident in Essex,21020
Female hampshire in Essex,99999
Female boy farmer acres men in Essex,61110
Female of organ builders and tuner wife in Essex,99999
Female rendars wife in Essex,99999
Male collector of rates and taxes in Essex,32010
Male apprentice solicitor in Essex,32090
Male gate keeper on railway in Essex,98290
Male boy servant errand in Essex,97110
Male boy farmer farming acres employing men and in Essex,61110
Male worker line in Essex,99999
Male bookmaker and inn carer in Essex,45140
Male master cordwainer in Essex,81160
Male blacksmith empoling one son in Essex,83120
Female brick maker in Glamorganshire,93590
Female filling in Glamorganshire,99999
Female dress seller in Glamorganshire,45190
Female potato huckster in Glamorganshire,45190
Female newspaper proprietor daughter in Glamorganshire,99999
Female proprietor of houses granddaughter in Glamorganshire,99999
Male sole managing clerk in Glamorganshire,32010
Male late haullier out of work in Glamorganshire,96210
Male good superintendent railway in Glamorganshire,98290
Male railway servant in Glamorganshire,98290
Male inspector of coals in Glamorganshire,71110
Male locomotive fitter cleaner in Glamorganshire,84120
Male apprentice brick maker in Glamorganshire,93590
Male chain maker beer house keeper in Glamorganshire,83190
Male manufacturer in Glamorganshire,21110
Male farm servant in Gloucestershire,62110
Male road surveyor in Gloucestershire,2130
Male carrier in Gloucestershire,98520
Female woollen drapers daughter in Gloucestershire,99999
Male plumber son in Gloucestershire,99999
Female magistrate in Gloucestershire,2110
Female marine keeper in Gloucestershire,99999
Female shepherd in Gloucestershire,62240
Female of photographer artist wife in Gloucestershire,99999
Female police daughter in Gloucestershire,99999
Male retired commander in Gloucestershire,1110
Male rector of parish in Gloucestershire,14110
Male vicar ofbarrington in Gloucestershire,14110
Male master tramp ward in Gloucestershire,99999
Male bath in Gloucestershire,99999
Male wine merchant in Gloucestershire,41190
Male porter provision market in Gloucestershire,97110
Male retired steward in Gloucestershire,99999
Male farmers son in Gloucestershire,99999
Male gardener in Gloucestershire,62290
Male master gardener in Gloucestershire,62290
Male coal dealer in Gloucestershire,45190
Male labourer and shop keeper in Gloucestershire,96210
Male road contractor employing men and boys in Gloucestershire,93990
Male formerly glass maker in Gloucestershire,89290
Male currier foreman in Gloucestershire,81290
Male umbrella crack maker in Gloucestershire,85990
Male retired gamekeeper in Gloucestershire,58140
Male marine artilleryman in Hampshire,1210
Female housekeeper domestic servant in Hampshire,54010
Male labourer in farm in Hampshire,62110
Female servant of mede clerk in Hampshire,99999
Female master school in Hampshire,13110
Female dairy maid farm servant in Hampshire,62110
Female apprentice ropemaker in Hampshire,79520
Female coachmaker smiths small shop wife in Hampshire,99999
Female servant for family in Hampshire,95110
Male east india company steward in Hampshire,32090
Male late surveyor builder and brick forpottery in Hampshire,93010
Male merchant shipwright insurance broker in Hampshire,41190
Male inn keeper farmer in Hampshire,57110
Male cabinet in Hampshire,82190
Male shipman in Hampshire,98320
Male boy saddler employing man in Hampshire,81290
Male rope maker royal navy in Hampshire,79520
Male mangler in Hampshire,95990
Male farm laborer son in Hampshire,99999
Male retired from business in Hampshire,99999
Male agricultural labourer in Herefordshire,62110
Female late farm servant in Herefordshire,62110
Male gentlemans servant in Herefordshire,95110
Male carpenter in Hertfordshire,81210
Male student in Hertfordshire,99990
Female beerseller in Hertfordshire,45190
Male barrister at law in in Hertfordshire,12110
Male musician in Hertfordshire,17210
Male apprentice blacksmith labourer in Hertfordshire,83120
Male bonnet maker in Hertfordshire,81390
Male haberdasher in Hertfordshire,45190
Male retired smith proprietor of house in Hertfordshire,99999
Female coal labourer wife in Huntingdonshire,99999
Male butcher and farmer farm in Huntingdonshire,78210
Male draperagent in Huntingdonshire,45130
Male brick maker employing men in Huntingdonshire,93590
Male orphan in Huntingdonshire,99999
Male captain h m indian service in Islands In The British Seas,1110
Male retired commissary general army in Islands In The British Seas,1110
Male late tide survey on superanate on list farming in Islands In The British Seas,99999
Male master carpenter employing men and in Islands In The British Seas,81210
Male librarian in Islands In The British Seas,32090
Male agricultural labourer in Kent,62110
Male farm worker in Kent,62110
Male apprentice carpenter in Kent,81210
Female servant in Kent,95110
Female launder in Kent,95990
Female milliner in Kent,79430
Male apprentice plasterer in Kent,93210
Female visiting in Kent,95110
Male cn sergeant in the army in Kent,1210
Male grocer carrier in Kent,45120
Male farmer of acres employing man in Kent,61110
Female house servant in Kent,95110
Female miller wife in Kent,99999
Female blacksmith wife in Kent,99999
Female formerly publican wife in Kent,99999
Male marine in Kent,1210
Male boy farm of acres employing labourer and in Kent,61110
Male farmer son in Kent,99999
Male apprentice carpenter and painter in Kent,81210
Male grocer shop maker in Kent,45120
Male brick maker in Kent,93590
Male retired brush maker in Kent,85990
Male tea dealer and book seller in Kent,45140
Male boot and shoe maker in Kent,81160
Male boot maker employ man in Kent,81160
Male boot shoe maker inspector of weights measur in Kent,81160
Male shoe in Kent,81160
Male pensioner shipwright in Kent,99999
Male marone enfmark in Kent,99999
Female musician in Lancashire,17210
Male smith labourer in Lancashire,83120
Female house painter in Lancashire,93110
Male worker coal in Lancashire,71110
Male cotton power loom in Lancashire,75120
Male out door labourer in Lancashire,96210
Male labourer chemical works in Lancashire,79990
Male mariner ordinary in Lancashire,98320
Male land agent surveyor in Lancashire,32090
Male officer in Lancashire,32090
Male machinist in Lancashire,84190
Male apprentice boot maker in Lancashire,81160
Male dutch workman in Lancashire,96210
Female assistant in the in Lancashire,32090
Male clerk in shipwright broker office in Lancashire,32010
Male methodist minister in Lancashire,14110
Male assistant dyehouse in Lancashire,75190
Male apprentice watch maker in Lancashire,84140
Male clagg and patten maker in Lancashire,81160
Male power loom twister of cotton in Lancashire,75190
Male cop packer in cotton miller in Lancashire,75190
Male tailor employing one man in Lancashire,79410
Male shoe maker in Lancashire,81160
Female postmaster postboy office in Lancashire,38110
Female servant in Lancashire,95110
Female apprentice broker in Lancashire,32090
Female traveller hawks in Lancashire,45190
Female sewer at cotton works in Lancashire,79420
Female assistance draper in Lancashire,45130
Female smallware maker ap in Lancashire,79990
Female card house miller in Lancashire,75190
Female cotton halfliner piecer in Lancashire,75190
Female cotton factory slatter in Lancashire,75190
Female hubber in a cotton factory in Lancashire,75190
Female pricer cotton factory in Lancashire,75190
Female worker cotton weaver factory in Lancashire,75120
Female cotton fustian cutter in Lancashire,75190
Female weaver woolen cloth in Lancashire,75120
Female freder in a woollen mile in Lancashire,75190
Female hand power loom woolen in Lancashire,75120
Female boot spinner in Lancashire,75110
Female hotel in Lancashire,53190
Female retired wine dealer in Lancashire,45190
Female factory home in Lancashire,99999
Female butler wife in Lancashire,99999
Female mistress of house in Lancashire,99999
Female cloth dresser wife in Lancashire,99999
Female colling engine drivers wife in Lancashire,99999
Female commercial traveller wife in Lancashire,99999
Female shipwright painters wife in Lancashire,99999
Female to foundry striker wife in Lancashire,99999
Female maker ups widow in Lancashire,99999
Female miller in Lancashire,77110
Female pillo in Lancashire,99999
Male postboy friner in Lancashire,38110
Male asst peicer in Lancashire,75190
Male solicitor generals clerk in Lancashire,32010
Male phrenologist in Lancashire,17390
Male cleaner in Lancashire,95990
Male landagent in Lancashire,32090
Male servant to the chorley commissioner and agent in Lancashire,32090
Male brakes in Lancashire,99999
Male carting agent in Lancashire,98520
Male boy farmer acres employing man in Lancashire,61110
Male drugatter end men boys in Lancashire,99999
Male farmer acres and agricultural labourer in Lancashire,61110
Male handloom weaver of cotton and farmer of acre in Lancashire,61110
Male master printer employing of men boys in Lancashire,92110
Male apprentice to seedsman in Lancashire,45190
Male draper in Lancashire,45130
Male furnace man chemic works in Lancashire,79990
Male pattern making shipping merchant in Lancashire,99999
Male apprentice brick maker in Lancashire,93590
Male working millwright engineer in Lancashire,84190
Male apprentice iron moulder in Lancashire,83110
Male and finisher in Lancashire,99999
Male droughman in Lancashire,99999
Male duller for machine in Lancashire,84190
Male mechanic iron korer in Lancashire,84190
Male brickseller labourer in Lancashire,93590
Male house painter provision dealer in Lancashire,93110
Male plumber joiner in Lancashire,87110
Male draugtsman in Lancashire,16190
Male joiner cabinet maker employing men in Lancashire,81220
Male watchmakers polisher in Lancashire,84140
Male apprentice turner in Lancashire,82110
Male warehouseman in glass manufacturing in Lancashire,39910
Male coal labourer in Lancashire,71110
Male alderman paper maker in Lancashire,92110
Male cotton bobbin winder in Lancashire,75190
Male overlooker powerlooms cotton miller in Lancashire,75010
Male loom jobber woolen in Lancashire,75120
Male lower loom weaver cotton in Lancashire,75120
Male recter at bleach works in Lancashire,79990
Male piece hanger printer works in Lancashire,92110
Male apprentice drapers assistants in Lancashire,45130
Male apprentice to cap making in Lancashire,81390
Male apprentice to butcher in Lancashire,78210
Male ginger beer man in Lancashire,77390
Male apprentice to bricksetter in Lancashire,93510
Unknown farmer taken in in Lancashire,61110
Male messenger in Leicestershire,97110
Male worker engine in Leicestershire,84120
Female collier in Leicestershire,71110
Female boy in Leicestershire,99999
Female formerly tailoress in Leicestershire,79410
Female glove dealer in Leicestershire,81290
Female manager refreshment rooms in Leicestershire,53190
Female income from annuities in Leicestershire,21020
Female dyer wife in Leicestershire,99999
Female manufacturer wife in Leicestershire,99999
Female hand wife in Leicestershire,99999
Female labourer railway wife in Leicestershire,99999
Female rare road time keepers wife in Leicestershire,99999
Male clerk of inland revenue in Leicestershire,32010
Male farmer acres in Leicestershire,61110
Male farm bailiff in Leicestershire,62010
Male general servant in husbandry in Leicestershire,62110
Male gardener employing man in Leicestershire,62290
Male carpenter employing sons in Leicestershire,81210
Male butcher arms in Leicestershire,78210
Male formerly a publican in Leicestershire,57110
Male musician in Lincolnshire,17210
Male tanner in Lincolnshire,81290
Male surveyor in Lincolnshire,2130
Female carpet weaver wife in Lincolnshire,99999
Male apprentice shoe maker in Lincolnshire,81160
Male at work on the farm in Lincolnshire,62110
Female cottagers help mate in Lincolnshire,62110
Female pork butcher in Lincolnshire,78210
Female farmer out door works in Lincolnshire,61110
Female of the above pair daughter in Lincolnshire,99999
Male member of the college of surgeon general prac in Lincolnshire,6110
Male pauper formerly groom in Lincolnshire,99999
Male shipwright in Lincolnshire,84310
Male employed cottager of acres land man in Lincolnshire,61110
Male employer boy farmer acres in Lincolnshire,61110
Male farm acres employing labourer woman in Lincolnshire,61110
Male farmer of acres in Lincolnshire,61110
Male farmer of acres employing labourer boys in Lincolnshire,61110
Male master miller employing man and farmer in Lincolnshire,77110
Male of acres of land in Lincolnshire,21020
Male as waggoner in Lincolnshire,98520
Male working in farm in Lincolnshire,62110
Male apprentice coachmaker painter in Lincolnshire,84230
Male master house painter in Lincolnshire,93110
Male legend in Lincolnshire,99999
Male silk throwster in Lincolnshire,75110
Male apprentice to a hatter in Lincolnshire,81390
Male engine maker in Lincolnshire,84110
Female carrier wife in London,99999
Female paper maker in London,79990
Male former carpenter in London,81210
Male ordinary seaman in London,98320
Female annuitant fundholder in London,21020
Female house daughter in London,99999
Male packet book maker in London,92110
Male innkeeper in London,57110
Male brick maker in London,93590
Male tobacco pipe maker in London,85990
Female department maintained by private friends in London,99999
Female theatrical cope de ballet in London,17390
Female works at military stores in London,99999
Female building in London,99999
Female fancy envelope folder in London,79990
Female of a duke daughter in London,99999
Female food packer in London,78290
Female engaged in the in London,99999
Female servant of scholar in London,99999
Male jailer in London,58110
Male sanitary inspector in London,58190
Male under ostler in London,62320
Male journeyman boot and shoe maker in London,81160
Male travellers son in London,99999
Female assistant machine maker in London,84190
Female domestic servant in London,95110
Female house servant upper nurse in London,7210
Female licensed victualler in London,57110
Female housekeeper cook servant in London,54010
Female who employ men and boys in London,21110
Female politioner in London,99999
Female carpenter in London,81210
Female butcher in London,78210
Female mustard packer in London,78290
Female tobacconist employs man in London,45190
Female farm servant in London,62110
Female receiving allowance from friends in London,99999
Female labourer works wife in London,99999
Female shoringwife in London,99999
Female wife of wm ayres in London,99999
Female of landholder daughter in London,99999
Female house proprietor in London,21020
Male war office temporary clerk in London,32010
Male messenger bright porter c in London,97110
Male messenger on the ldp office in London,97110
Male police constable in London,58110
Male thomas police officer in London,58110
Male officer of customs in London,32010
Male retired surveyor of in London,2130
Male surveyor salvage in London,99999
Male organist professor of music in London,17210
Male meat salesman in London,45190
Male potatoo fruiterer and pea salesman employing men in London,45190
Male clerk of curtons house agent in London,32010
Male house estate and medical agent in London,32090
Male and decorator in London,93110
Male clerk and volunteer in London,32010
Male clerk to vice in London,32010
Male commercial clerk at company in London,32010
Male journeyman commercial clerk in London,32010
Male paper manufacture in London,79990
Male apprentice baker in London,77210
Male clerk marine insurance co in London,32010
Male boy reader vending in London,99999
Male engine driver in London,98210
Male ironmonger and smith employing man and boys in London,41190
Male formerly an agricultural labourer in London,62110
Male manufacturer of keats in London,79990
Male retired whitesmith in London,83210
Male coachmaker carrier maker in London,84230
Male coachmaker maker carriage in London,84230
Male watch maker in London,84140
Male appentice surgical instrument maker in London,84190
Male retired piano forte maker land holder house hold in London,99999
Male builder in London,93010
Male paperlayer and painter in London,93110
Male sertonchapel in London,99999
Male journeyman porter in London,97110
Male carries and gilder in London,85990
Male skinner in London,81290
Male gunsmith maker patent fuels maker employing in London,84190
Male harness maker in London,81290
Male watch maker in London,84140
Male brown saddler in London,81290
Male brush maker in London,85990
Male paper making in London,79990
Male journeyman box maker in London,82290
Male assistant book hall in London,32090
Male brass manufacture in London,83290
Male cordwainer in London,81160
Male assistant corn dealer in London,45190
Male corn dealer out of business in London,45190
Male tobacconist collector in London,45190
Male porter in spitalfields maker in London,97110
Male tobacco brokers clark in London,32010
Male apprentice brass founder in London,83290
Male apprentice fishmonger in London,78110
Male retired lawer in London,12110
Male unable to pursue any occupation in London,99999
Male seactton in London,99999
Unknown servant in London,95110
Female quarry miner wife in Merionethshire,99999
Male flannel fuller in Merionethshire,75190
Female flour merchants wife in Merionethshire,99999
Female labourer farmer in Merionethshire,62110
Female copper miner wife in Merionethshire,99999
Male farmer with acres in Merionethshire,61110
Male apprentice plasterer in Merionethshire,93210
Female pensioner in Middlesex,99999
Male coachmaker trimmer in Middlesex,84230
Male labourer son in Middlesex,99999
Male grazier in Middlesex,61120
Female anniuties in Middlesex,21020
Male collector of rates in Middlesex,32010
Male buyer in Middlesex,99999
Male box maker in Middlesex,82290
Male apprentice tailor in Middlesex,79410
Female servant nursemaid in Middlesex,95110
Female essex in Middlesex,99999
Male nurseryman employing g spen in Middlesex,62290
Male carriage trimmer in Middlesex,84230
Male carpenter and sexton in Middlesex,81210
Male coal labourer in Middlesex,71110
Male brick maker son in Middlesex,99999
Male bargeman in Middlesex,98320
Male brick maker in Monmouthshire,93590
Male servant in Monmouthshire,95110
Female shipwright in Monmouthshire,84310
Female dealer in Monmouthshire,45190
Female iron monger painter wife in Monmouthshire,99999
Female platelayer wife in Monmouthshire,99999
Female farm bailiff daughter in Monmouthshire,99999
Male farmer acres in Monmouthshire,61110
Male retired farm bailiff in Monmouthshire,62010
Male farmer in Monmouthshire,61110
Male printer and dyer in Monmouthshire,92110
Male inn dresser in Monmouthshire,99999
Female ministers wife in Montgomeryshire,99999
Female retired manufacturer in Montgomeryshire,21110
Male domestic servant in Montgomeryshire,95110
Male boy farm servant in Montgomeryshire,62110
Male groom in Norfolk,62320
Female work on farm in Norfolk,62110
Male boy in Norfolk,99999
Female proprietor of land in Norfolk,21020
Female land fundholder in Norfolk,21020
Female teacher national school in Norfolk,13110
Male traveller in Norfolk,43190
Male coachmaker plater in Norfolk,84230
Female servant on farmer in Norfolk,95110
Female gas house work in Norfolk,99999
Female miller carters wife in Norfolk,99999
Female dressmaker in Norfolk,79410
Female domestic servant wife in Norfolk,99999
Female organ builder wife in Norfolk,99999
Male brokers clerk in Norfolk,32010
Male boy errand boy in Norfolk,97110
Male farmer acres in Norfolk,61110
Male farmer acres employing men boys in Norfolk,61110
Male farmer occupying acres in marham acre in Norfolk,61110
Male farmer of acres employing labourer and bo in Norfolk,61110
Male ordnary in Norfolk,99999
Male journeyman tinman brazier in Norfolk,83210
Male hand silk weaver looms in Norfolk,75120
Male retired corn factor in Norfolk,45190
Male postman in Northamptonshire,38110
Female mid wife in Northamptonshire,7220
Male delivery porter in Northamptonshire,97110
Female agricultural shepherds wife in Northamptonshire,99999
Male rector of medicine in Northamptonshire,6110
Male boy farm of acres employing in Northamptonshire,61110
Male farmer of acres employing mens and boys in Northamptonshire,61110
Male foreman on farms in Northamptonshire,62010
Male journeyman parchment maker in Northamptonshire,79990
Male joiner and grocer in Northumberland,81220
Female house servant in Northumberland,95110
Male navy in Northumberland,98320
Male master grocer employing men in Northumberland,45120
Female owner of in Northumberland,21020
Female machine maker in Northumberland,84190
Female maltster wife in Northumberland,99999
Male tob collector in Northumberland,32010
Male clerk with in Northumberland,32010
Male spirit bar keeper in Northumberland,53290
Male farmer of acres in Northumberland,61110
Male carpenter in Northumberland,81210
Male retired coal merchant in Northumberland,41190
Male foreman labourer manner works in Northumberland,99999
Male apprentice dyer in Northumberland,75190
Male pork butcher shop in Northumberland,78210
Male miller and inn keeper in Northumberland,77110
Male brewer and publican in Northumberland,77310
Male apprentice engin works in Northumberland,84120
Male licensed victualler in Nottinghamshire,57110
Female maker up of hose in Nottinghamshire,79990
Female iron miner wife in Nottinghamshire,99999
Male retired clerk in Nottinghamshire,32010
Female proprieter of houses and land in Nottinghamshire,21020
Female licensed victualler daughter in Nottinghamshire,99999
Male super office of excise in Nottinghamshire,32010
Male servant man in the house in Nottinghamshire,95110
Male retired lacemaker proprietor in Nottinghamshire,99999
Male boy farmer acres employing labourer and in Nottinghamshire,61110
Male thread glaze maker in Nottinghamshire,75190
Male clerk in office water works in Nottinghamshire,32010
Male soldier in Oxfordshire,1210
Male journeyman baker in Oxfordshire,77210
Female cook professed in Oxfordshire,53110
Female farm bailiff in Oxfordshire,62010
Female groom wife in Oxfordshire,99999
Male boy farmer of acres employing man and in Oxfordshire,61110
Male navie in Oxfordshire,96210
Male sergeant army in Pembrokeshire,1210
Male mason and inn keeper in Pembrokeshire,93110
Female market gardener in Pembrokeshire,62290
Male apprentice land agent in Pembrokeshire,32090
Male farmer of acres of land in Pembrokeshire,61110
Female book sellers wife in Pembrokeshire,99999
Female occupiers daughter in Pembrokeshire,99999
Male farmer of acres employing man boys in Pembrokeshire,61110
Male master blacksmith employing men in Pembrokeshire,83120
Female music teacher in Radnorshire,17210
Male farming acres employing men and boys in Radnorshire,61110
Male s in Royal Navy At Sea And In Por,98320
Male watch maker in Rutland,84140
Male p engineer in Shipping,21210
Male house servant in Shropshire,95110
Female formerly a domestic servant in Shropshire,95110
Female mangler in Shropshire,95990
Female joiner carpenter wife in Shropshire,99999
Female farmer of acres men in Shropshire,61110
Male farmer employing acres in Shropshire,61110
Male labourer gardener in Shropshire,62290
Male mine burner iron in Shropshire,71190
Male timber merchant employing men in Shropshire,41190
Male retired chemist druggist in Shropshire,7190
Male butcher iron keeper in Shropshire,78210
Male jobbing in Shropshire,96210
Female housemaid in Somerset,95110
Female wheelwright wife in Somerset,99999
Male railway servant in Somerset,98290
Female embroiderer in Somerset,79420
Male mangler in Somerset,95990
Male formerly woollen weaver in Somerset,75120
Female upholsterer wife in Somerset,99999
Female boy farmer of acres employing in Somerset,61110
Female farmer of acres in Somerset,61110
Female work at the needle in Somerset,79420
Male clergyman not care of souls in Somerset,14110
Male managing clerk to solicitor in Somerset,32010
Male clergyman schoolmaster in Somerset,14110
Male agent clerk railway in Somerset,32010
Male boy farmer of acres employ labourer and in Somerset,61110
Male farmer of acres in Somerset,61110
Male farm bailiff to rector in Somerset,62010
Male dairyman bootmaker in Somerset,78110
Male corn dealer in Somerset,45190
Female seamstress in Staffordshire,79420
Male serew forger in Staffordshire,83190
Female girl banks in colliery in Staffordshire,71110
Female apprentice dressmaker employing in Staffordshire,79410
Female blank makers wife in Staffordshire,99999
Male police servant in Staffordshire,58110
Male overlooker in silk miller in Staffordshire,75010
Male at a pension in Staffordshire,99999
Male grocer and gardener son in Staffordshire,99999
Female postboy mistress stationer in Staffordshire,38110
Female assistant pollers in Staffordshire,99999
Female varnishers in Staffordshire,99999
Female music master in Staffordshire,17210
Female daughter assistant in Staffordshire,99999
Female proprietress of house in Staffordshire,21020
Male police in Staffordshire,58110
Male bowdler in Staffordshire,99999
Male tender of a blast engine in Staffordshire,84120
Male auist and profesor of music in Staffordshire,17210
Male servant in Staffordshire,95110
Male railway servant in Staffordshire,98290
Male farmer of acres employing labourer in Staffordshire,61110
Male victualler and small farmer in Staffordshire,57110
Male master gardener in Staffordshire,62290
Male pit banker in Staffordshire,71110
Male brass founder toll collector in Staffordshire,83290
Male master shoe maker in Staffordshire,81160
Male gunsmith furniture maker in Staffordshire,84190
Male laborer at hoyes in Staffordshire,96210
Male overlooker at pottery in Staffordshire,89010
Male steel spin maker in Staffordshire,83190
Male work of art in Staffordshire,99999
Male brickmaker labourer in Staffordshire,93590
Male rivet carrier in boiler yard in Staffordshire,83190
Male printer book binder in Staffordshire,92110
Male japanner employs men and females in Staffordshire,83190
Male chemical labourer in Staffordshire,79990
Male gardener in Staffordshire,62290
Male hackenneths in Staffordshire,99999
Female servant domestic in Suffolk,95110
Female hatter in Suffolk,81390
Female belter in Suffolk,99999
Male retired woollen draper in Suffolk,45130
Male curate of st peter in Suffolk,14110
Male apprentice professor of music in Suffolk,17210
Male steward in Suffolk,32090
Male apprentice to agricultural machine in Suffolk,84190
Male boy plumber employing men and in Suffolk,87110
Male master plumber glazieremploying one in Suffolk,87110
Male maturers maker in Suffolk,99999
Male labourer in Suffolk,96210
Male retired army in Suffolk,1210
Male soldier shoemaker in Surrey,1210
Male carpenter in Surrey,81210
Male ivory turner in Surrey,85990
Male master batcher employing hands in Surrey,78210
Male sunday scholar in Surrey,99990
Female wine merchant wife in Surrey,99999
Female american export merchant wife in Surrey,99999
Male retired engineer founder in Surrey,21210
Male formerly groom in Surrey,62320
Male farmer occupying acres in Surrey,61110
Male farmer of acres in Surrey,61110
Male farmer tones employs men boys in Surrey,61110
Male grocers shopman in Surrey,45110
Female carter wife in Sussex,99999
Male carrier and broom maker in Sussex,98520
Female lodging house keeper in Sussex,57190
Female housewoman and blacksmith wife in Sussex,99999
Female messenger wife in Sussex,99999
Female of geo adolphus gray mariner wife in Sussex,99999
Female of publisher wife in Sussex,99999
Male formerly aman worker in Sussex,96210
Male farmer of acres employing labourer in Sussex,61110
Male boy coal dealer in Sussex,45190
Male assistant gunsmith maker in Sussex,84190
Male master carpenter employing in Sussex,81210
Male timber merchant and wheelwright employing men in Sussex,41190
Male shoe maker in Sussex,81160
Male pensioner labourer and chelsea in Sussex,99999
Female gardener wife in Warwickshire,99999
Male spoon forger in Warwickshire,83190
Female works at home in Warwickshire,99999
Male commercial traveller in Warwickshire,43190
Male british school teacher in Warwickshire,13110
Male husbandry servant in Warwickshire,62110
Male bootboy in Warwickshire,95110
Female worker iron of crew in Warwickshire,83190
Female plumber and glayser in Warwickshire,87110
Female attends sunday school in Warwickshire,99990
Female ribbon weaver leaner in Warwickshire,75120
Female railway pointmans wife in Warwickshire,99999
Female by daughter in Warwickshire,99999
Male retired postboy office messenger in Warwickshire,97110
Male officer ireland revenue in Warwickshire,32010
Male retired officer of army in Warwickshire,1110
Male doctor of medicine general practitioner in Warwickshire,6110
Male professor of music and german in Warwickshire,17210
Male house servant in Warwickshire,95110
Male railway engine driver in Warwickshire,98210
Male solicitors messenger in Warwickshire,97110
Male farmer of acres in Warwickshire,61110
Male farm an employ labourer boys in Warwickshire,61110
Male edge tool ware house man in Warwickshire,39910
Male spectacle maker filer in Warwickshire,85990
Male rail carriage fitter in Warwickshire,98290
Male axle in Warwickshire,99999
Male stamper of ruled wared in Warwickshire,99999
Male watch weaver jeweller in Warwickshire,84140
Male boiler maker in Warwickshire,83110
Male journeyman carpenter and provision dealer in Warwickshire,81210
Male basket work in Warwickshire,82390
Male cutter down sheet iron mill in Warwickshire,83190
Male glass metal maker in Warwickshire,89290
Male machine maker in Warwickshire,84190
Male baker at county prison in Warwickshire,77210
Male manager for gas in Warwickshire,21110
Male scholar smith in Warwickshire,99999
Female farm worker in Westmorland,62110
Male clerk paper mills in Westmorland,32010
Male retired housekeeper in Westmorland,54010
Male proprietor of houses in Wiltshire,21020
Male boy shepherd in Wiltshire,62240
Male master railway stoker in Wiltshire,98290
