occ1,hisco,lang,code1,code2,code3,code4,code5
Female farm of acres employ labourer in Dorset,61110,en,764.0,,,,
Male good superintendent railway in Glamorganshire,98290,en,1882.0,,,,
Male apprentice silk mercers dlr in Cheshire,99600,en,,,,,
Female house servant in Dorset,95110,en,,,,,
Male assistant dyehouse in Lancashire,75190,en,1019.0,,,,
Male boy farmer of ac employ cowmen waggoner in Derbyshire,61110,en,764.0,,,,
Female hatter in Suffolk,81390,en,,,,,
Female foreman dyer wife in Lancashire,55990,en,,,,,
Male late surveyor builder and brick forpottery in Hampshire,93010,en,,,,,
Male brown saddler in London,81290,en,1282.0,,,,
Male clerk bleach works in Lancashire,39100,en,585.0,,,,
Male apprentice iron manufacture in Cardiganshire,99600,en,,,,,
Male general labourer in Dorset,99900,en,1914.0,,,,
Male retired seaman in Hampshire,99800,en,,,,,
Male shipwright keeper in Devon,85100,en,1417.0,,,,
Female worker farm servant in Norfolk,62100,en,775.0,,,,
Female milliners in Yorkshire West Riding,79430,en,1212.0,,,,
Male journeyman commercial clerk in London,32010,en,,,,,
Female worker tinman plate foreman in Warwickshire,83210,en,1312.0,,,,
Female puplican in Nottinghamshire,53200,en,676.0,,,,
Male brush maker in London,85990,en,1465.0,,,,
Male corn dealer in Somerset,45190,en,653.0,,,,
Male groom in Norfolk,62320,en,788.0,,,,
Male apprentice shipwright carpenter in Cheshire,99600,en,,,,,
Female joiner carpenter wife in Shropshire,99999,en,1918.0,,,,
Female farmer daughter in Cumberland,61110,en,764.0,,,,
Male boy farmer of acres employ labourer and in Somerset,61110,en,764.0,,,,
Male thomas police officer in London,58110,en,727.0,,,,
Female silk and scholar in Cheshire,99990,en,,,,,
Female farm bailiff in Glamorganshire,61310,en,,,,,
Female governess in Bedfordshire,13200,en,297.0,,,,
Male managing clerk to solicitor in Somerset,32010,en,,,,,
Male ticket waiter in Yorkshire East Riding,53190,en,675.0,,,,
Male farm of acres in Cheshire,61110,en,764.0,,,,
Male shoe maker in Lancashire,81160,en,,,,,
Male servant club in London (Parts Of Middlesex,55900,en,,,,,
Male vistualler in Lancashire,57110,en,,,,,
Male liner and cabinet maker in Yorkshire North Riding,81220,en,1273.0,,,,
Male master house painter in Lincolnshire,93110,en,,,,,
Female agent for sutton co parcel delivery in Berkshire,99999,en,1918.0,,,,
"Male labourer brick layer in London (Parts Of Middlesex,",93510,en,,,,,
Male fitter and pattern maker in Cheshire,84120,en,1364.0,,,,
Male cabinet makers foreman in Staffordshire,82010,en,,,,,
Female boot swing in London,99999,en,1918.0,,,,
Male watchmakers polisher in Lancashire,84140,en,1368.0,,,,
Male silversmith goldsmith cutter out of employ in Warwickshire,85120,en,1419.0,,,,
Male plate layer on railway in Gloucestershire,95100,en,1725.0,,,,
Female butler wife in Lancashire,99999,en,1918.0,,,,
Male retired victualler in Suffolk,57110,en,,,,,
Male paperlayer and painter in London,93110,en,,,,,
Male agent clerk railway in Somerset,32010,en,,,,,
Male worker stone in coal miner in Durham,71110,en,853.0,,,,
Male boy reader vending in London,99999,en,1918.0,,,,
Male vicar ofbarrington in Gloucestershire,14110,en,,,,,
Female gas manager wife in Somerset,55990,en,,,,,
Female nurse in London (Parts Of Middlesex,5400,en,184.0,,,,
Male pensioner naval in Kent (Extra London),99800,en,,,,,
Female domestic servant out of employ in Herefordshire,55900,en,,,,,
Male sanitary inspector in London,58190,en,,,,,
Male farmer employing labourer boys in Worcestershire,61110,en,764.0,,,,
Male labourer for brick makers in Cheshire,93510,en,,,,,
Female wine merchant wife in Surrey,99999,en,1918.0,,,,
Male boy farm servant in Pembrokeshire,62100,en,775.0,,,,
Female housekeeper cook servant in London,54010,en,684.0,,,,
Female keeper at cotton factory in Derbyshire,75010,en,,,,,
Female retired farm bailiff in Devon,62010,en,,,,,
Male woodmen in Essex,82210,en,,,,,
Male trammayer worker in London,98290,en,1882.0,,,,
Female draper labourer in a copper miner in Cornwall,71190,en,861.0,,,,
Male shop manager sea in Essex,24110,en,,,,,
Female day labourer carters wife in Denbighshire,99999,en,1918.0,,,,
Male agricultural labourer son in Denbighshire,62110,en,777.0,,,,
Male carpenter in Surrey,81210,en,1272.0,,,,
Male dock labourer in Suffolk,97110,en,,,,,
Male farmer of acers in Shropshire,61110,en,764.0,,,,
Male cashier clark to draper in Nottinghamshire,33100,en,543.0,,,,
Female ribbon weaver leaner in Warwickshire,75120,en,1011.0,,,,
Male carpenter staircase handrail maker in London (Parts Of Middlesex,81100,en,1266.0,,,,
Male boy railway gate points in Yorkshire East Riding (With,98290,en,1882.0,,,,
Male potatoo fruiterer and pea salesman employing men in London,45190,en,653.0,,,,
Female scholar factory half time in Yorkshire West Riding,99990,en,,,,,
Female formerly hairdressers wife in Devon,55990,en,,,,,
Male caretaker business premises in Yorkshire East Riding,58190,en,,,,,
Male lyons restaurant railway in Kent,53190,en,675.0,,,,
Male porter to grocer in Cheshire,97110,en,,,,,
Female labourer railway wife in Leicestershire,99999,en,1918.0,,,,
Female plumber and painter employing man wife in Yorkshire West Riding,99999,en,1918.0,,,,
Female formerly a domestic servant in Pembrokeshire,95110,en,,,,,
Male assistant in shop grocer in Glamorganshire,41110,en,,,,,
Male retired postboy office clerk in London,38110,en,,,,,
Female heald in Yorkshire West Riding,75190,en,1019.0,,,,
Male servant man in the house in Nottinghamshire,95110,en,,,,,
Male railway clerk in Yorkshire East Riding,32010,en,,,,,
Male farmer embloyed on the farm son in Surrey,61110,en,764.0,,,,
Male farmer of acres in Yorkshire North Riding,61110,en,764.0,,,,
Male worker line in Essex,99999,en,1918.0,,,,
Female crape draper in Lancashire,41120,en,,,,,
Female cottage property in Kent (Extra London),21020,en,,,,,
Male agricultural labourer in Cambridgeshire,62100,en,775.0,,,,
Female builder in Derbyshire,82300,en,,,,,
Male letter carrier and cordwainer in Yorkshire East Riding,38110,en,,,,,
Female pharmacy nurse in Cambridgeshire,7210,en,226.0,,,,
Male retired merchant in Essex,99800,en,,,,,
Female flax bobbin changer at factory in Dorset,75400,en,1032.0,,,,
Male at a pension in Staffordshire,99999,en,1918.0,,,,
Male farm superintendent in Devon,62010,en,,,,,
Male journeyman butcher in Hertfordshire,41130,en,,,,,
Male gardener in Gloucestershire,62290,en,786.0,,,,
Male pensioner attendant on gentleman in London (Parts Of Middlesex,99800,en,,,,,
Female domestic servant in Devon,95110,en,,,,,
Male retired piano forte maker land holder house hold in London,99999,en,1918.0,,,,
Male late millwright in Derbyshire,84190,en,1378.0,,,,
Unknown servant in London,95110,en,,,,,
Female draper emplying assist in Kent (Extra London),45130,en,650.0,,,,
Female grazier wife in Essex,99999,en,1918.0,,,,
Male shipwright fireman formerly in Durham,84310,en,,,,,
Female pensioner in Middlesex,99999,en,1918.0,,,,
Male weight taker shipwright yard bld in Cheshire,99999,en,1918.0,,,,
Male st miner axillary in Cornwall,71190,en,861.0,,,,
Male second foreman engine fitter in Hampshire,84100,en,1360.0,,,,
Male hawker lucifer malster in Cambridgeshire,45190,en,653.0,,,,
Male farm worker in Kent,62110,en,777.0,,,,
Male laborer ironstone miner in Northamptonshire,71400,en,,,,,
Male coachmaker in Staffordshire,84230,en,1383.0,,,,
Male fitter engineers shop in Surrey,84120,en,1364.0,,,,
Male master carpenter employing men and in Islands In The British Seas,81210,en,1272.0,,,,
Female apron pinfore maker in Yorkshire West Riding,79420,en,1211.0,,,,
Female teacher music in Leicestershire,13100,en,283.0,,,,
Male legend in Lincolnshire,99999,en,1918.0,,,,
Male pork butcher employing men in Carnarvonshire,78210,en,,,,,
Male dealer in chinese goods in London,45190,en,653.0,,,,
Female leather mat maker in Yorkshire West Riding,81290,en,1282.0,,,,
Male organist professor of music in London,17210,en,,,,,
Male journey tailor in Durham,79100,en,1193.0,,,,
Male upholsterer in London (Parts Of Middlesex,81400,en,,,,,
Male journeyman tinman brazier in Norfolk,83210,en,1312.0,,,,
Male assistant harness maker in Lancashire,81290,en,1282.0,,,,
Male clerk with in Northumberland,32010,en,,,,,
Male farmer acres in Leicestershire,61110,en,764.0,,,,
Female butcher in London,78210,en,,,,,
Male purfumer in Sussex,85990,en,1465.0,,,,
Female hand wife in Leicestershire,99999,en,1918.0,,,,
Female comber tenter cardroom cardroom in Lancashire,75190,en,1019.0,,,,
Female grooms collar works shirt wife in Somerset,55990,en,,,,,
Male grazier in Middlesex,61120,en,,,,,
Male retired capt royal artillery in Somerset,99800,en,,,,,
Male dutch workman in Lancashire,96210,en,,,,,
Male no occupation formerly tailor in Lancashire,99999,en,1918.0,,,,
Female blank makers wife in Staffordshire,99999,en,1918.0,,,,
Male hand general paper factory in Gloucestershire,78100,en,1173.0,,,,
Female platelayer wife in Monmouthshire,99999,en,1918.0,,,,
Male carriage spring maker coachmaker mkr in London (Parts Of Middlesex,85300,en,1433.0,,,,
Female farm in Cheshire,61110,en,764.0,,,,
Male shunter in Northamptonshire,98290,en,1882.0,,,,
Male retort setter gas works in Kent (Extra London),99999,en,1918.0,,,,
Female cloth dresser wife in Lancashire,99999,en,1918.0,,,,
Male master boot maker employs man in Yorkshire West Riding,81160,en,,,,,
Male master joiner employing in Durham,81220,en,1273.0,,,,
Male farm bailiff domestic in Montgomeryshire,61310,en,,,,,
Male warehouseman news agent in Lancashire,43300,en,,,,,
Male boy saddler employing man in Hampshire,81290,en,1282.0,,,,
Female late buck nurse in Cumberland,7210,en,226.0,,,,
Female worker cotton weaver factory in Lancashire,75120,en,1011.0,,,,
Male late tide survey on superanate on list farming in Islands In The British Seas,99999,en,1918.0,,,,
Male engine fitter journeyman in London,84120,en,1364.0,,,,
Male waterworks labourer in London,96210,en,,,,,
Male n in Essex,99999,en,1918.0,,,,
Male horse shoer blacksmith in Northumberland,83100,en,1305.0,,,,
Male farmer of acres employing labourer in Staffordshire,61110,en,764.0,,,,
Male agricultural labourer in Cambridgeshire,62100,en,775.0,,,,
Male cattle drover small shop in Gloucestershire,62230,en,782.0,,,,
Male steward in Kent (Extra London),55900,en,,,,,
Female carter wife in Sussex,99999,en,1918.0,,,,
Male child scholar servant in Cheshire,99990,en,,,,,
Female retired milkseller in Yorkshire West Riding,45190,en,653.0,,,,
Male surveyor salvage in London,99999,en,1918.0,,,,
Male farmer of acres in Herefordshire,61110,en,764.0,,,,
Male farmer acres employ man in Hampshire,61110,en,764.0,,,,
Female shoe clogg maker masters wife in Yorkshire West Riding,99999,en,1918.0,,,,
Male machinist in Lancashire,84190,en,1378.0,,,,
Female commercial traveller wife in Lancashire,99999,en,1918.0,,,,
Male apprentice carpenter in Brecknockshire,99600,en,,,,,
Male assistant officer of army and of volu in Worcestershire,1120,en,4.0,,,,
Male farm bailiff in Durham,62010,en,,,,,
Male coachmaker maker employ men and boys in Yorkshire East Riding,84230,en,1383.0,,,,
Female dressmaker in Buckinghamshire,79200,en,1198.0,,,,
Male woollen weaver cloth manuf in Oxfordshire,75100,en,1009.0,,,,
Female shipwright painters wife in Lancashire,99999,en,1918.0,,,,
Male clerk leather merchants in London (Parts Of Middlesex,39100,en,585.0,,,,
Male master basket maker employing men boys in Middlesex (Extra London),89300,en,1563.0,,,,
Male farmer employing acres in Shropshire,61110,en,764.0,,,,
Female licensed victualler daughter in Nottinghamshire,99999,en,1918.0,,,,
Male fulling miller labourer in Lancashire,77110,en,,,,,
Male grocer carrier in Kent,45120,en,648.0,,,,
Male boy farm servant in Pembrokeshire,62110,en,777.0,,,,
Female market gardener in Pembrokeshire,62290,en,786.0,,,,
Male master ropemaker in Yorkshire West Riding,79520,en,1222.0,,,,
Female formerly a domestic servant in Pembrokeshire,55900,en,,,,,
Female boot and shoe maker wife in Lancashire,55990,en,,,,,
Male grocers shopman in Surrey,45110,en,,,,,
Male farm bailiff in Leicestershire,62010,en,,,,,
Female marine keeper in Gloucestershire,99999,en,1918.0,,,,
Female postmaster postboy office in Lancashire,38110,en,,,,,
Male cordwainer in London,81160,en,,,,,
Male boy linen draper empg men in Cambridgeshire,41120,en,,,,,
Male apprentice fitter iron foundry in Lincolnshire,84120,en,1364.0,,,,
Male poultry dresser in Lincolnshire,78290,en,1185.0,,,,
Female painter on earthenware in Staffordshire,86100,en,1467.0,,,,
Male watch maker in London,84140,en,1368.0,,,,
Female of landholder daughter in London,99999,en,1918.0,,,,
Male surveyor estate agent and occupier of acres of land employing indoor and outdoor laboure in Kent,2130,en,32.0,,,,
Female traveller hawks in Lancashire,45190,en,653.0,,,,
Male marine artilleryman in Hampshire,1210,en,10.0,,,,
Male shipwright in Kent (Extra London),85100,en,1417.0,,,,
"Male laborer carriage cleaner in London (Parts Of Middlesex,",96210,en,,,,,
Male out door labourer in Lancashire,96210,en,,,,,
Female music teacher in Radnorshire,17210,en,,,,,
Male cowman farm in Merionethshire,62220,en,781.0,,,,
Female brick maker in Glamorganshire,93590,en,,,,,
Male farmer in acres in Anglesey,61110,en,764.0,,,,
Male upholster french polisher in Yorkshire East Riding,82190,en,,,,,
Female colling engine drivers wife in Lancashire,99999,en,1918.0,,,,
Male retired builder in Devon,93010,en,,,,,
Unknown patient in Lancashire,99999,en,1918.0,,,,
Female cloth weaver formerly in Gloucestershire,75100,en,1009.0,,,,
Male drayman in Oxfordshire,98500,en,1895.0,,,,
Male farmer of acres of land in Yorkshire West Riding,61110,en,764.0,,,,
Male painter grainer in Staffordshire,93110,en,,,,,
Male war office temporary clerk in London,32010,en,,,,,
Male contractor foot in Cornwall,99999,en,1918.0,,,,
Male braid maker trimmings in London (Parts Of Middlesex,79300,en,1205.0,,,,
Male loom jobber woolen in Lancashire,75120,en,1011.0,,,,
Male working millwright engineer in Lancashire,84190,en,1378.0,,,,
Male worsted factory overlooker spinner in Yorkshire West Riding,75010,en,,,,,
Male lady door in Devon,99999,en,1918.0,,,,
Male carrier in Gloucestershire,98520,en,1896.0,,,,
Male retired engineer founder in Surrey,21210,en,,,,,
Male farmer of acres employing man in Northamptonshire,61110,en,764.0,,,,
Female maker ups widow in Lancashire,99999,en,1918.0,,,,
Male boot maker employ man in Kent,81160,en,,,,,
Female assistant school in Surrey,13110,en,,,,,
Male annutant in Lincolnshire,99999,en,1918.0,,,,
Male tailor cutter in Lincolnshire,79100,en,1193.0,,,,
Male managing clerk to solicitor in Somerset,32010,en,,,,,
Female boarder servant in Lancashire,55900,en,,,,,
Male retired commander in Gloucestershire,1110,en,3.0,,,,
Male railway porter in Lancashire,98200,en,1879.0,,,,
Male commercial traveller in London (Parts Of Middlesex,43100,en,628.0,,,,
Female apprentice dressmaker in Glamorganshire,99600,en,,,,,
Male house estate and medical agent in London,32090,en,,,,,
Female of parish relief in Yorkshire East Riding,99999,en,1918.0,,,,
Female pricer cotton factory in Lancashire,75190,en,1019.0,,,,
Male s in Royal Navy At Sea And In Por,98320,en,1884.0,,,,
Male boy miller employing man in Herefordshire,77400,en,1123.0,,,,
Male cooccupier of farm in Devon,61110,en,764.0,,,,
Male clerk railway co in Kent (Extra London),39100,en,585.0,,,,
Male waggon maker ry in London (Parts Of Middlesex,85400,en,1440.0,,,,
Male auist and profesor of music in Staffordshire,17210,en,,,,,
Male recter at bleach works in Lancashire,79990,en,1238.0,,,,
Female house shop in Nottinghamshire,99999,en,1918.0,,,,
Male cook in Cambridgeshire,53110,en,,,,,
Male retired police inspector in London,58010,en,,,,,
Male worsted manufacture in Yorkshire West Riding,75190,en,1019.0,,,,
Male retired commander in Gloucestershire,1110,en,3.0,,,,
Male unemployed coachman in Norfolk,98540,en,1898.0,,,,
Male tobacco brokers clark in London,32010,en,,,,,
Male inn keeper farmer in Hampshire,57110,en,,,,,
Male nail manufacture in Worcestershire,83190,en,1310.0,,,,
Male agricultural labourer in Kent,62110,en,777.0,,,,
Male boy farmer acres employing men in Worcestershire,61110,en,764.0,,,,
Female Potter in Suffolk,73110,en,,,,,
Male apprentice provision curer in Cheshire,78290,en,1185.0,,,,
Male apprentice to a hatter in Lincolnshire,81390,en,,,,,
Male sole managing clerk in Glamorganshire,32010,en,,,,,
Male road labourer in London (Parts Of Middlesex,99900,en,1914.0,,,,
Male herdsman in Nottinghamshire,62220,en,781.0,,,,
Male licensed victualler in Nottinghamshire,57110,en,,,,,
Male yarn warehouse stock keeper in Leicestershire,39910,en,,,,,
Male masters clerk central office royal courts of justice in London (Parts Of Middlesex,39100,en,585.0,,,,
Female scutcher silk in Yorkshire West Riding,75190,en,1019.0,,,,
Female turnor wife in Cardiganshire,82110,en,,,,,
Male retired steward in Gloucestershire,99999,en,1918.0,,,,
Female quarry miner wife in Merionethshire,99999,en,1918.0,,,,
Male boy farm servant in Montgomeryshire,62110,en,777.0,,,,
Male master gardener in Staffordshire,62290,en,786.0,,,,
Male draperagent in Huntingdonshire,45130,en,650.0,,,,
Female farmer out door works in Lincolnshire,61110,en,764.0,,,,
Female assistant pollers in Staffordshire,99999,en,1918.0,,,,
Female rope yard in h m dockyard in Devon,99999,en,1918.0,,,,
Male builders labourer in Gloucestershire,99900,en,1914.0,,,,
Female mothers help dom servant in Berkshire,55900,en,,,,,
Male boy servant errand in Essex,97110,en,,,,,
Male ginger beer man in Lancashire,77390,en,1122.0,,,,
Male farmer of acres employing labourer and bo in Norfolk,61110,en,764.0,,,,
Male frameworker employing men hos manf in Leicestershire,79300,en,1205.0,,,,
Female ladies nurse dom in Hampshire,5400,en,184.0,,,,
Male oil dealer color man in Cornwall,41200,en,,,,,
Male retired major general jp in Devon,99800,en,,,,,
Male apprentice brush maker in London (Parts Of Middlesex,99600,en,,,,,
Male labr plumbers in Surrey (Extra London),87110,en,1479.0,,,,
Male railway servant in Glamorganshire,98290,en,1882.0,,,,
Male iron moulders labourer in Yorkshire North Riding,83110,en,1306.0,,,,
Female centre for alic cotton cottons in Lancashire,75190,en,1019.0,,,,
Female cotton spinner tenter in Lancashire,75110,en,,,,,
Male apprentice draper employee in Staffordshire,99600,en,,,,,
Female shopkeeper wife in Anglesey,41100,en,,,,,
Female income derived from rents of houses in Derbyshire,99999,en,1918.0,,,,
Male land agent and private means in Shropshire,32090,en,,,,,
Male farm servant in doors in Oxfordshire,62100,en,775.0,,,,
Female shepherd in Gloucestershire,62240,en,783.0,,,,
Male chair back maker in London (Parts Of Middlesex,81300,en,,,,,
Female maker up of prints in Cheshire,79990,en,1238.0,,,,
Female honn in Dorset,99999,en,1918.0,,,,
Male journeyman cordwainer in Lincolnshire,80100,en,1240.0,,,,
Female farm servant out door in Northumberland,62100,en,775.0,,,,
Female retired publican owner of house property in Cumberland,57110,en,,,,,
Male labourer ordinary at road in Somerset,96210,en,,,,,
Male hostler at an hotel in Anglesey,53190,en,675.0,,,,
Male trarsler in London,99999,en,1918.0,,,,
Male inland revenue clerk in Monmouthshire,32010,en,,,,,
Male colliery hitcher under ground in Glamorganshire,71110,en,853.0,,,,
Male a general servant in Cornwall,55900,en,,,,,
Male farmer of acres employing boys in Carmarthenshire,61110,en,764.0,,,,
Male farmer of acres in Cornwall,61110,en,764.0,,,,
Male sergeant army in Pembrokeshire,1210,en,10.0,,,,
Male japanner employs men and females in Staffordshire,83190,en,1310.0,,,,
Male kitchenmaid in lodging house in Lancashire,53110,en,,,,,
Female farm servant in Cambridgeshire,62100,en,775.0,,,,
Female house daughter in London,99999,en,1918.0,,,,
Female servant house maid in London (Parts Of Middlesex,55200,en,700.0,,,,
Male apprentice marble mason in Yorkshire East Riding,93110,en,,,,,
Male apprentice grocer in Yorkshire East Riding,45120,en,648.0,,,,
Male matchmaker bryant m fusee in London (Parts Of Middlesex,78400,en,,,,,
Male former carpenter in London,81210,en,1272.0,,,,
Male retired manager of braid trimming business in London (Parts Of Middlesex,99800,en,,,,,
Male grocer shop maker in Kent,45120,en,648.0,,,,
Male gardener in Staffordshire,62290,en,786.0,,,,
Male messenger in Leicestershire,97110,en,,,,,
Female hand loom worsted weaver in Yorkshire West Riding,75120,en,1011.0,,,,
Male teacher of languages maths in Kent (Extra London),13100,en,283.0,,,,
Male agricultural labourer in Lincolnshire,62100,en,775.0,,,,
Male journeyman porter in London,97110,en,,,,,
Male hand woolen loom weaver in Gloucestershire,75120,en,1011.0,,,,
Male retired mechanical engineer through accident in Lancashire,21210,en,,,,,
Male hatter wool livestricker in Cheshire,81390,en,,,,,
Male day man on farm in Essex,62110,en,777.0,,,,
Male retired railway attendant in Cumberland,98290,en,1882.0,,,,
Male tinker in Dorset,83210,en,1312.0,,,,
Male house estate and medical agent in London,32090,en,,,,,
Male shepherd in Norfolk,62120,en,778.0,,,,
Female food packer in London,78290,en,1185.0,,,,
Female brick wks oven in Staffordshire,93590,en,,,,,
Male cook in Durham,53110,en,,,,,
Male master gardener in Gloucestershire,62290,en,786.0,,,,
Male and finisher in Lancashire,99999,en,1918.0,,,,
Female buster dono in Sussex,99999,en,1918.0,,,,
Female scho at home in Somerset,99990,en,,,,,
Female schoolmistress in London,13110,en,,,,,
Female tap barmaid in Sussex,53290,en,682.0,,,,
Female cardboard liner in London (Parts Of Middlesex,78200,en,1182.0,,,,
Male iron monger steam shop owner farmer of acres employing men in Durham,41200,en,,,,,
Female land proprietor in Worcestershire,21020,en,,,,,
Female housekeeper in Cambridgeshire,55100,en,694.0,,,,
Male groom in Nottinghamshire,55800,en,,,,,
Male porter provision market in Gloucestershire,97110,en,,,,,
"Female genlservtdomestic in London (Parts Of Middlesex,",95110,en,,,,,
Male jailer in London,58110,en,727.0,,,,
Male private enquiry office gnrly in London (Parts Of Middlesex,99999,en,1918.0,,,,
Female at home daughter in Devon,99999,en,1918.0,,,,
Male unemployed brewer in Somerset,99700,en,,,,,
Male boy telegraph in Oxfordshire,37210,en,,,,,
Male miller in Buckinghamshire,77110,en,,,,,
Male retired merchant captain in Devon,99800,en,,,,,
Female blacksmith wife in Buckinghamshire,55990,en,,,,,
Male miner lead ore dresser in Northumberland,71500,en,,,,,
Male bailiff other in Herefordshire,61310,en,,,,,
Female works for the market garden in Essex,62200,en,779.0,,,,
Male curate of st peter in Suffolk,14110,en,,,,,
Male farm servant in Norfolk,62110,en,777.0,,,,
Male watch weaver jeweller in Warwickshire,84140,en,1368.0,,,,
Male labourer mechanical engineering works in Yorkshire West Riding,84190,en,1378.0,,,,
Female artificial florist in Shropshire,85990,en,1465.0,,,,
Female farm servant in Derbyshire,62110,en,777.0,,,,
Male cop packer in cotton miller in Lancashire,75190,en,1019.0,,,,
Male inspector of goods dept rly in London (Parts Of Middlesex,20200,en,453.0,,,,
Female shoe machinist in Leicestershire,80100,en,1240.0,,,,
Male whip hawker in Yorkshire West Riding,45190,en,653.0,,,,
Male linendraper in Wiltshire,45130,en,650.0,,,,
Male foreman wire works tobacconist in Lancashire,41150,en,,,,,
Male spectacle maker filer in Warwickshire,85990,en,1465.0,,,,
Female general domestic servant domestic in Devon,55900,en,,,,,
Male smith hw dock yard in Devon,83120,en,1307.0,,,,
Male superannuated officer inland revenue in Durham,32010,en,,,,,
Male farm servant ag indoor in Durham,62100,en,775.0,,,,
Female house furniture clerk in London,32010,en,,,,,
Female farmer out door works in Lincolnshire,61110,en,764.0,,,,
Male retired lawer in London,12110,en,271.0,,,,
Male apprentice draper in Carmarthenshire,99600,en,,,,,
Male retired smith proprietor of house in Hertfordshire,99999,en,1918.0,,,,
Male labourer fitters in Staffordshire,84120,en,1364.0,,,,
Female girl farmer in Yorkshire West Riding,61110,en,764.0,,,,
Male baliff in Essex,32090,en,,,,,
Male flaxdresser foreman in Yorkshire West Riding,75190,en,1019.0,,,,
Male servant man inn in Lancashire,55900,en,,,,,
Male apprentice turner in machine works in Lancashire,99600,en,,,,,
Male apprentice lithographic printer in Yorkshire East Riding,92110,en,1623.0,,,,
Male retired pocket book maker in Worcestershire,92110,en,1623.0,,,,
Male work on farm in Leicestershire,62100,en,775.0,,,,
Male professor in the french language in Middlesex (Extra London),13900,en,319.0,,,,
Male pauper harness maker in Kent (Extra London),76300,en,,,,,
Female work on farm in Norfolk,62110,en,777.0,,,,
Male innkeeper and butcher in Durham,57110,en,,,,,
Female plumber and glayser in Warwickshire,87110,en,1479.0,,,,
Female domestic servant in Buckinghamshire,55900,en,,,,,
Male british school teacher in Warwickshire,13110,en,,,,,
Male under ostler in London,62320,en,788.0,,,,
Female cripple and from birth in Yorkshire West Riding,99999,en,1918.0,,,,
Male field laborer in Middlesex (Extra London),62100,en,775.0,,,,
Male tender of a blast engine in Staffordshire,84120,en,1364.0,,,,
Female carpenter wife in Suffolk,55990,en,,,,,
Female show room manager drapery in Essex,20100,en,451.0,,,,
Male droughman in Lancashire,99999,en,1918.0,,,,
Male retired calico manufacture in Devon,75190,en,1019.0,,,,
Male solicitors messenger in Warwickshire,97110,en,,,,,
Unknown agricultural labourer son in Northamptonshire,62110,en,777.0,,,,
Male boy errand fisherman in London (Parts Of Middlesex,64100,en,839.0,,,,
Male retired officer of army in Warwickshire,1110,en,3.0,,,,
Male electricion in London (Parts Of Middlesex,85700,en,1457.0,,,,
Female missionarys wife in London (Parts Of Middlesex,55990,en,,,,,
Male journeyman parchment maker in Northamptonshire,79990,en,1238.0,,,,
Male rector of willingham in Lincolnshire,14100,en,326.0,,,,
Male catching in tinman works in Glamorganshire,73200,en,945.0,,,,
Male master joiner in Lancashire,81100,en,1266.0,,,,
Male barronet in Sussex,21010,en,,,,,
Male farm lad in Buckinghamshire,62110,en,777.0,,,,
Unknown accountant in Carnarvonshire,3110,en,96.0,,,,
Male maker of engines boilers boats in Cheshire,84110,en,1362.0,,,,
Male engine smith at factory em in Leicestershire,84100,en,1360.0,,,,
Male hollowware turner iron in Staffordshire,73200,en,945.0,,,,
Male mason apprentice in Hampshire,99600,en,,,,,
Male magistrate in Denbighshire,2110,en,,,,,
Male boy plumber employing men and in Suffolk,87110,en,1479.0,,,,
Male railway engine driver in Warwickshire,98210,en,,,,,
Male farmer acres empl labourer in Yorkshire North Riding,61110,en,764.0,,,,
Male serew forger in Staffordshire,83190,en,1310.0,,,,
Female miller w annuitant in Yorkshire North Riding,77110,en,,,,,
Male coachmaker plater in Norfolk,84230,en,1383.0,,,,
Female of publisher wife in Sussex,99999,en,1918.0,,,,
Female boy farmer acres men in Essex,61110,en,764.0,,,,
Male boatswain seamen in Northumberland,98110,en,,,,,
Male keepman in Durham,58190,en,,,,,
Unknown farmer taken in in Lancashire,61110,en,764.0,,,,
Male bachelor of arts teacher in Merionethshire,13100,en,283.0,,,,
Male ordnary in Norfolk,99999,en,1918.0,,,,
Male agricultural labourer in Kent,62110,en,777.0,,,,
Male apprentice designer in lead in Derbyshire,16190,en,357.0,,,,
Female sack bag maker in Lancashire,79300,en,1205.0,,,,
Female agricultural scholar in Northamptonshire,62100,en,775.0,,,,
Male postmastercs in Cumberland,39300,en,595.0,,,,
Male shipping superintendent in Kent,24210,en,,,,,
Male master printer employing of men boys in Lancashire,92110,en,1623.0,,,,
Male clerk in southwark vauxhall water company in London,32010,en,,,,,
Male farmer of acres in Somerset,61110,en,764.0,,,,
Male mariner ordinary in Lancashire,98320,en,1884.0,,,,
Female agricultural shepherds wife in Northamptonshire,99999,en,1918.0,,,,
Male rector of fittleton in Wiltshire,14110,en,,,,,
Female incapable of working insane in Yorkshire West Riding,99999,en,1918.0,,,,
Female needle work in Essex,79420,en,1211.0,,,,
Male captain h m indian service in Islands In The British Seas,1110,en,3.0,,,,
Female anniuties in Middlesex,21020,en,,,,,
Female american export merchant wife in Surrey,99999,en,1918.0,,,,
Male assistant book hall in London,32090,en,,,,,
Female setter on frames in Lancashire,75190,en,1019.0,,,,
Female servant at home in Worcestershire,95110,en,,,,,
Male inland revenue officer cs off in Lincolnshire,39400,en,602.0,,,,
Male master plumber glazieremploying one in Suffolk,87110,en,1479.0,,,,
"Male pensioner attendant on gentleman in London (Parts Of Middlesex,",95990,en,1796.0,,,,
Male grain laborer corn dl in Lancashire,96210,en,,,,,
