Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation
1901,CHESHIRE,Male,farmers son cwman,175,62113,3,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",,farmer cwman son,family_dependent,0.5542645324027549,True,modification_poor_result,['cwman'],False
1901,DENBIGHSHIRE,Female,cart propriettor,367,81300,1,81925,CARTWRIGHTS,Cartwright,,carter propriettor,transport_communication,0.5795210934788069,True,modification_poor_result,['propriettor'],False
1901,DEVON,Male,butcher shopkeeper,682,77310,1,77310,BUTCHERS AND MEAT SALESMEN,"Butcher, General",,beershop keeper,food_drink,0.5831078181720202,True,modification_poor_result,['beershop'],False
1901,MONMOUTHSHIRE,Female,retred farmers wife,175,62113,1,62110,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM","FarmHelper, General",,retred farmer wife,family_dependent,0.6075807928952751,True,modification_poor_result,['retred'],False
1901,MERIONETHSHIRE,Female,s  c tel post office,2,37020,1,33170,OTHER POST OFFICE OFFICERS AND CLERKS,Post Office Counter Clerk,,s c tel postboy office,transport_communication,0.6105466337880372,True,modification_poor_result,"['s', 'c', 'tel']",False
1901,YORKSHIRE WEST RIDING,Female,drawer wsted mill,552,75990,1,75990,COTTON & COTTON GOODS MANUFACTURE OTHER PROCESSES,"Other Spinners, Weavers, Knitters, Dyers and Related Workers",moderate,drawer wsted miller,food_drink,0.6190996167622878,True,modification_poor_result,['wsted'],False
1901,DURHAM,Female,bootsellers assistant,666,41010,1,41025,FOOTWEAR DEALERS,Working Proprietor (Wholesale or Retail Trade),,assistant bootsellers,other,0.6632047963804466,True,modification_poor_result,['bootsellers'],False
1901,LONDON,Female,clerk s p c children,2,37020,1,37090,OTHER POST OFFICE OFFICERS AND CLERKS,Other Mail Distribution Clerks,,children clerk s p c,professional_clerical,0.6657070472998693,True,modification_poor_result,"['s', 'p', 'c']",False
1901,NORTHUMBERLAND,Male,machanical engineer apprentice,768,84110,2,21110,ARTISANS MECHANICS,General Manager,,apprentice machanical engineer,other,0.6731957780599332,True,modification_poor_result,['machanical'],False
1901,BEDFORDSHIRE,Male,yner  modeller,747,92900,1,16120,FIGURE AND IMAGE MAKERS NOT EARTHENWARE,Sculptor,,yner modeller,other,0.6845341243482587,True,modification_poor_result,['yner'],False
1901,ESSEX,Male,government g p o clerk retired commission agent,2,37020,1,37010,OTHER POST OFFICE OFFICERS AND CLERKS,"Mail Distribution Clerk, General",,retired government g p o clerk commission agent,unemployed_seeking,0.6885773282241436,True,modification_poor_result,"['g', 'p', 'o']",False
1901,YORKSHIRE WEST RIDING,Female,apron  pinfore maker,509,80390,1,80390,"PARCHMENT, VELLUM - MAKER",Other Leather Goods Makers,,apron pinfore maker,other,0.6893862058066779,True,modification_poor_result,['pinfore'],False
1901,ESSEX,Male,auction surveyor  c,66,3010,1,3010,"LAND, HOUSE, SHIP--SURVEYOR","Surveyor, General",moderate,auction surveyor c,other,0.6899403762475131,True,modification_poor_result,['c'],False
1901,HAMPSHIRE,Male,canvas manufature  j p,587,79920,1,75000,CANVAS AND SAILCLOTH MANUFACTURE (VARIOUS),"Spinners, Weavers, Knitters, Dyers and Related Workers, Specialisation Unknown",,canvas manufature j p,other,0.6903910480598322,True,modification_poor_result,"['manufature', 'j', 'p']",False
1901,RADNORSHIRE,Male,platelayer l  n w railway,131,97430,2,99910,"PLATELAYER, GANGER, PACKER",Labourer,,platelayer l n w railway,other,0.6915859204775482,True,modification_poor_result,"['l', 'n', 'w']",False
1901,LONDON,Male,insurance messenger  hsekeeper,123,39310,1,39350,INSURANCE OFFICIALS CLERKS,Insurance Clerk,,insurance messenger hsekeeper,transport_communication,0.6930303641325242,True,modification_poor_result,['hsekeeper'],False
1901,WORCESTERSHIRE,Male,district manager w h smith  son,999,-1,1,0,,,,district manager w h smith son,family_dependent,0.6932617151334053,True,modification_poor_result,"['w', 'h']",False
1901,LANCASHIRE,Male,l  n w ry railway servant goods dept,134,98490,1,54090,OTHER RAILWAY SERVANTS,Other Maids and Related Housekeeping Service Workers,,l n w ry railway servant goods dept,domestic_service,0.6948138871783651,True,modification_poor_result,"['l', 'n', 'w', 'ry', 'dept']",False
1901,LANCASHIRE,Female,general servent domtc,765,99130,2,99910,GENERAL LABOURERS,Labourer,,general servant domtc,domestic_service,0.9835242567237793,True,modification_poor_result,['domtc'],False
